,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,SvName
76,1713027214426,332432420000000,18,0.0,-1396730000006041684,-0.9590837955474854,20.209761714795604,-39.54286403290759,14.77495631725134,8,28,0.0,81935,579232346603449,27,22.6,-475.15234375,3.000500202178955,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.16,17.6,-7861.56591796875,6.028573513031006,,,Q,338428126732344,G,G28
94,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,02,0.0,16399,579233349706803,21,36.4,-473.2129211425781,1.2308529615402222,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.56,31.4,0.0,0.0,,,C,338429120453490,G,G02
95,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,10,0.0,16399,579233349846070,6,49.4,386.9629821777344,0.03329208120703697,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.56,44.4,0.0,0.0,,,C,338429120453490,G,G10
96,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,21,0.0,16399,579233353771930,10,44.0,-313.22088623046875,0.029899103567004204,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.56,39.0,0.0,0.0,,,C,338429120453490,G,G21
97,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,27,0.0,16399,579233351917708,17,38.3,572.3273315429688,0.042794376611709595,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.56,33.3,0.0,0.0,,,C,338429120453490,G,G27
98,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,32,0.0,16399,579233354378894,6,49.5,280.6029052734375,0.025792080909013748,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.56,44.5,0.0,0.0,,,C,338429120453490,G,G32
122,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,08,0.0,81935,579233355457571,12,28.7,211.6474151611328,0.9539999961853027,16,0.0,0.0,1176450050,,,,0,0.0,1,-39.05,23.7,-7861.56787109375,6.028910160064697,,,Q,338429120453490,G,G08
123,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,10,0.0,81935,579233349853920,4,39.9,387.0015869140625,0.05947423353791237,16,0.0,0.0,1176450050,,,,0,0.0,1,-39.05,34.9,-7861.56787109375,6.028910160064697,,,Q,338429120453490,G,G10
124,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,32,0.0,81935,579233354386775,18,25.0,281.2664489746094,1.9824999570846558,16,0.0,0.0,1176450050,,,,0,0.0,1,-39.05,20.0,-7861.56787109375,6.028910160064697,,,Q,338429120453490,G,G32
141,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,02,0.0,16399,579234349708436,27,34.4,-472.8988037109375,0.5900000333786011,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.08,29.4,0.0,0.0,,,C,338430125821718,G,G02
142,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,08,0.0,16399,579234355448987,31,33.3,212.15841674804688,1.3289999961853027,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.08,28.299999999999997,0.0,0.0,,,C,338430125821718,G,G08
143,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,10,0.0,16399,579234349844779,6,49.4,386.8756408691406,0.03329208120703697,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.08,44.4,0.0,0.0,,,C,338430125821718,G,G10
144,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,21,0.0,16399,579234353772959,8,46.6,-312.8106384277344,0.02870025485754013,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.08,41.6,0.0,0.0,,,C,338430125821718,G,G21
145,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,27,0.0,16399,579234351915795,13,41.8,572.9408569335938,0.035391952842473984,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.08,36.8,0.0,0.0,,,C,338430125821718,G,G27
146,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,32,0.0,16399,579234354377968,6,48.5,280.737060546875,0.026305874809622765,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.08,43.5,0.0,0.0,,,C,338430125821718,G,G32
174,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,08,0.0,81935,579234355456863,8,32.0,212.06419372558597,3.1320931911468506,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.16,27.0,-7861.56787109375,6.028910160064697,,,Q,338430125821718,G,G08
175,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,10,0.0,81935,579234349852631,4,39.8,386.8449096679688,0.05947423353791237,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.16,34.8,-7861.56787109375,6.028910160064697,,,Q,338430125821718,G,G10
176,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,28,0.0,81935,579234346606627,18,25.7,-475.5982971191406,1.9105000495910645,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.16,20.7,-7861.56787109375,6.028910160064697,,,Q,338430125821718,G,G28
177,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,32,0.0,81935,579234354385813,9,31.0,280.9867553710937,2.374824285507202,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.16,26.0,-7861.56787109375,6.028910160064697,,,Q,338430125821718,G,G32
193,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,02,0.0,16399,579235349710015,14,40.9,-473.1712341308594,0.6103767156600952,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.63,35.9,0.0,0.0,,,C,338431119621979,G,G02
194,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,03,0.0,16399,579235346004211,80,26.1,-469.654296875,2.495500087738037,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.63,21.1,0.0,0.0,,,C,338431119621979,G,G03
195,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,08,0.0,16399,579235355448288,17,38.7,212.0243377685547,1.7494374513626099,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.63,33.7,0.0,0.0,,,C,338431119621979,G,G08
196,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,10,0.0,16399,579235349843486,11,43.5,385.43011474609375,0.6075793504714966,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.63,38.5,0.0,0.0,,,C,338431119621979,G,G10
197,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,21,0.0,16399,579235353774012,9,45.4,-313.5313415527344,0.029309194535017014,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.63,40.4,0.0,0.0,,,C,338431119621979,G,G21
198,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,27,0.0,16399,579235351913894,14,40.1,572.9171142578125,0.03649565577507019,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.63,35.1,0.0,0.0,,,C,338431119621979,G,G27
199,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,28,0.0,16399,579235346600397,24,35.6,-476.5022277832031,0.6963843107223511,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.63,30.6,0.0,0.0,,,C,338431119621979,G,G28
200,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,32,0.0,16399,579235354377025,6,48.5,279.6727294921875,0.026305874809622765,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.63,43.5,0.0,0.0,,,C,338431119621979,G,G32
227,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,08,0.0,81935,579235355456147,12,28.4,212.65399169921875,0.9539999961853027,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.75,23.4,-7861.568359375,6.029247283935547,,,Q,338431119621979,G,G08
228,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,10,0.0,81935,579235349851341,4,39.6,385.6147155761719,0.05947423353791237,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.75,34.6,-7861.568359375,6.029247283935547,,,Q,338431119621979,G,G10
229,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,27,0.0,81935,579235351921722,18,25.9,572.5731811523438,2.697999954223633,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.75,20.9,-7861.568359375,6.029247283935547,,,Q,338431119621979,G,G27
230,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,28,0.0,81935,579235346608225,14,27.5,-476.4010009765625,1.0205000638961792,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.75,22.5,-7861.568359375,6.029247283935547,,,Q,338431119621979,G,G28
231,1713027217426,332435420000000,18,0.0,-1396730000006041776,-0.1988937854766845,14.65101922804024,-34.16607647959799,9.64755784952282,8,32,0.0,81935,579235354384876,8,33.1,279.77569580078125,0.6525000333786011,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.75,28.1,-7861.568359375,6.029247283935547,,,Q,338431119621979,G,G32
248,1713027218426,332436420000000,18,0.0,-1396730000006041814,-0.0366673469543457,14.809498679824173,-36.27612285297784,9.806037822921759,8,02,0.0,16399,579236349711605,10,44.9,-473.8988342285156,1.1776610612869263,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.13,39.9,0.0,0.0,,,C,338432117429426,G,G02
